Name;Firma2;Straße;PLZ;Ort;Land;Telefon;Fax;Produkte;Kategorie;Kategorie;Kategorie;;Hallenname
Ju-Jutsu Abteilung;TSV 1861 Nördlingen e.V.;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Juchheim Cosmetics;Kowol Eva;Mühlberg 1;86697;Oberhausen;;15773741511;;Effectkosmetik, Antiaging, Antifalten, Anticellulite;Mode, Beauty, Kosmetik;;;;Halle G
Jugendrotkreuz Nordschwaben;;Jennisgasse 7;86609;Donauwörth;;;;1. Hilfe-Kurs für Kinder 03.10.;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Kaminkehrer-Innung Schwaben-Augsburg;;Gartenstraße 9;86660;Erlingshofen;;09070/91881;09070/91882;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle B
KAMPA GmbH;;Kampa-Platz 1;73432;Aalen/Waldhausen;;07367 92092-0;07329 951-299;Fertighäuser ;Bauen, Ausbau, Fertighäuser, Immobilien;;;;Halle E
Katholische Jugendfürsorge;der Diözese Augsburg e. V.;Schaezlerstr. 34;86152;Augsburg;;0821/3100-0;0821/3100-111;Upcycling-Basteln Geldbeutel aus Milch- und Saftkartons - 02.10. 14-18 Uhr;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Katholische Jugendstelle Donauwörth;;Heilig-Kreuz-Str. 19;86609;Donauwörth;;0906 22565;0906 7051176;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Kettler Adolf;Naturprodukte;Klosterplatz 5;86732;Oettingen;;09082/2448;09082/921517;Naturprodukte, Tee, Sonnenmoor, Honig;Nahrungs- und Genussmittel;;;;Halle K
Kettlitz-Chemie GmbH & Co. KG;;Industriestrasse 6;86643;Rennertshofen;;08434 940218;08434 940238;Schmierstoffe, Gerätereiniger, Sonderkraftstoff;Landwirtschaft, Landwirtschaftsgeräte;Gartengeräte, Gartengestaltung, Gartenbedarf;;;Freigelände
Kipf & Sohn GmbH;Fenster und Wintergartenbau;Wettelsheimer Straße 18;91801;Markt Berolzheim;;09146 9414-25;09146 9414-14;Fenster, Haustüren, Terrassendach-Muster;Fenster und Türen;Wintergärten, Überdachungen, Markisen;;;Halle E
Kirchenvorstand Enkingen;;Am Knie 6;86753;Möttingen;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Klaiber GmbH;;Karlstraße 44;89568;Hermaringen;;07322 8079210;07322 8079259;Dachsandwichpaneele, Trapezbleche, Wellbleche, Lichtplatten;Dächer, Dachumdeckungen, Dacheindeckungen, Fassaden;;;;Halle E
Klopfer GmbH;Fensterbau;Fürfällmühlweg 4;86732;Oettingen;;09082/96600;09082/9660-41;Fenster und Haustüren ;Fenster und Türen;;;;Halle K
Kögl GmbH - Betriebs-, Lager- u.;Fahrzeugeinrichtungen;Industriestr. 2;89347;Bubesheim-Günzburg;;08221/3690-28;08221/3690-22;Sprinter mit Fahrzeugeinrichtung ;Auto, Autozubehör, Autopflege, Autohaus;;;;Freigelände
Kommunale Jugendarbeit;Landratsamt Donau-Ries;Pflegstr. 2;86609;Donauwörth;;0906 74158;0906 7443158;Spiele in XXL ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Kowol Eva;Juchheim Cosmetics;Mühlberg 1;86697;Oberhausen;;15773741511;;Effectkosmetik, Antiaging, Antifalten, Anticellulite;Mode, Beauty, Kosmetik;;;;Halle G
Kreisjugendring Donau-Ries;;Kreuzfeldstr. 12;86609;Donauwörth;;0906 7051099;0906 2247;Buttons gestalten u. Spiele rund um die Balance 05. + 06.10;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Kreisverband für Gartenbau;und Landespflege Nördlingen;Am Feldtor 21;86720;Nördlingen-Schmähingen;;09081 / 3683;09081 / 799779;Verkostung sortenreiner Apfelsäfte Vorstellung Leader-Projekt Alte Streuobstsorten;Nahrungs- und Genussmittel;Gartengeräte, Gartengestaltung, Gartenbedarf;Informationsstände, Dienstleistungen, Sonderschau;;Halle C
Kreiswasserwacht Nordschwaben;;Jennisgasse 7;86609;Donauwörth;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Kress Kaffee;;Bürgermeister-Reiger-Straße 31;86720;Nördlingen;;0174-3065110;;Kaffee, Spezialitäten ;Nahrungs- und Genussmittel;;;;Halle A
Krieger-, Soldaten- und;Kameradschaftsverein Möttingen;Baadfeld 16;86753;Möttingen;;09083/1365;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Küche & Wohnkultur;Dallmaier GmbH;Ludwig-Auer-Str. 7;86609;Donauwörth;;0906 7058890;0906 7058899;Küche, Eßgruppen ;Möbel, Küchen;;;;Halle H
Kyudo GmbH;;Ossietzkystrasse 37a;1662;Meißen;;0173 2043508;030 25292225;Körperpflege-Artikel, Wellnes-Artikel, Gesichtshaar-Entferner;Mode, Beauty, Kosmetik;;;;Halle G
Landfrauen Donauwörth;Bayer. Bauernverband;Am Stillflecken 30;86609;Donauwörth;;0906 706460;;Arbeit der Landfrauen, Blühflächenpatenschaft;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle T
Landkreis Donau-Ries;Energieberatung;Pflegstr. 2;86609;Donauwörth;;0906/74-258;0906/74-248;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle B
Landratsamt Donau-Ries;;Pflegstraße 2;86609;Donauwörth;;0906/74-139;0906/74-273;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J, Halle D
Lang Schreinerei GmbH & Co.KG;Portas Fachbetrieb;Thalmühlstraße 4;86739;Ederheim;;09081/275541;09081/275542;Treppe, Türen, Fenster, Decke, Haustüren ;Altbau, Modernisierung;Fenster und Türen;;;Halle F
Lebenswert GmbH;Intensivpflegedienst;Dalkinger Str. 12b;73479;Ellwangen;;07961 9339930;07961 9339939;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Gesundheit, Medizin, Pflege;;;Halle G
Lechner Massivhaus GmbH;;Senator-Gerauer-Str. 25;85586;Poing-Grub;;089 901295-14;089 901295-16;Informationsstand ;Bauen, Ausbau, Fertighäuser, Immobilien;;;;Halle F
Lechner Trachtelstadl;Trachtenstadl;Mühlstr. 36;86732;Oettingen;;09082 9619377;;Trachten für Damen und Herren, Dirndl, Lederhosen, Blusen, Schuhe, Strümpfe,;Mode, Beauty, Kosmetik;Informationsstände, Dienstleistungen, Sonderschau;;;Halle K
Lechwerke AG;;Schaezlerstr. 3;86150;Augsburg;;0821/328-1572;0821/328-1565;PV + Speicher Lösungen, SolarCloud, E-Mobility-Ladelösungen, Gewinnspiel;Energietechnik, Energieversorgung;Informationsstände, Dienstleistungen, Sonderschau;;;Halle B
Leeb - Balkone & Zäune;Holz Leeb GmbH;Maitratten 25;A-9563;GNESAU;ÖSTERREICH;0043 4278 70037;0043 4278 70021;Balkone, Zäune, Trennwände, Über- dachungen, Sommergärten, Anbaubalkone;Wintergärten, Überdachungen, Markisen;Balkone, Geländer, Zäune;Altbau, Modernisierung;;Freigelände
Lessmann Herwig;Schreinerei - Gartenmöbel;Nürnberger Straße 60;86720;Nördlingen;;09081/5585;09081/23494;Möbel, Gartenmöbel ;Möbel, Küchen;Gartengeräte, Gartengestaltung, Gartenbedarf;;;Halle S
Linsenmeyer Joachim;Schreinerei;Wörnitzstr. 25;86655;Harburg;;09080 921429;09080 921430;Bett, Bettwaren, Möbel ;Betten, Bettwäsche, Felle;Möbel, Küchen;;;Halle S
Luna Trading GmbH;;Walgaustraße 7;A-6719;Bludesch-Gaiß;ÖSTERREICH;0043 5524 53900-0;0043 5524 53900-6;Schmuck ;Schmuck;Mode, Beauty, Kosmetik;;;Halle G
Maierbier;;Industriestraße 9;86720;Nördlingen;;09081 6041246;;regionales Bier ;Nahrungs- und Genussmittel;;;;Halle A
Mair Jürgen;Wintergarten GmbH;Nordweg 1;86641;Rain am Lech;;09090 5792885;;Wintergarten, Sommergarten, Terrassen- überdachungen, Markisen;Wintergärten, Überdachungen, Markisen;;;;Halle E
Mairie de Bourgueil;;8 rue du Picard - BP 29;37140;Bourgueil;FRANKREICH;0033 0247972500;0033 0247979858;Wein und Häppchen ;Informationsstände, Dienstleistungen, Sonderschau;Nahrungs- und Genussmittel;;;Halle D
Markt Wallerstein;;Weinstr. 19;86757;Wallerstein;;09081 27600;09081 276020;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle D
Mayer Hubarbeitsbühnen GmbH;;Dolomitstr. 49;73433;Aalen;;07361 5561713;07361 78914;LKW-Arbeitsbühne, Raupenscheren- arbeitsbühne;Maschinen und Werkzeuge;;;;Freigelände
Mediagon AG;;Freiherr-v.-Hundbiss-Str. 10;78479;Reichenau;;07534/998020;07534/998021;Kalk- und Rostschutzgerät ;Wasserenthärtung und -aufbereitung;;;;Halle E
meinBodenbelag.de GmbH;;Bahnhofstrasse 53;73450;Neresheim-Elchingen;;07367/960313;;Parkett, Vinyl, Laminat, Kork, Holz- u. WPC-Terrassen;Bauen, Ausbau, Fertighäuser, Immobilien;Raumausstattung;;;Halle E
Meyr GmbH;Holzbau - Schreinerei;Bühlinger Str. 2;86748;Minderoffingen;;09087/920700;09087/9207010;Fenster, Türen, Holzbau, Elektroküchen- geräte, Böden, Zimmerei;Bauen, Ausbau, Fertighäuser, Immobilien;Elektrogeräte, HiFi, Radio;Raumausstattung;Fenster und Türen;Halle S
Montessori Schule Deiningen;;Schulstr. 5;86738;Deiningen;;09081 2724656;09081 2724659;Basteln für Kinder, Schulpräsentation ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle H
Moosverdacht GmbH;;Nadlerstraße 9;88299;Leutkirch;;07561/7409769;07561/7409767;Biologische Moos-, Algen-, Flechten- Entfernung von Terrassen, Hofeinfahrten;Reinigungsgeräte und -mittel;;;;Halle H
Mrs.Sporty Nördlingen;;Löpsingerstr.  26;86720;Nördlingen;;09081 2723825;;Informationsstand Standbesetzung am 05. + 06.10.2019;Fitness, Gesundheit;Informationsstände, Dienstleistungen, Sonderschau;;;Halle G
mt marketing GmbH;Altmühltaler Natur Campingplatz;An der Altmühl 24;92339;Beilngries;;08461 606730;08461 602964;Informationsstand, Schäferwagen ;Informationsstände, Dienstleistungen, Sonderschau;;;;Freigelände
Münzinger Harald;Landmetzgerei;Espenstr. 12;86655;Harburg-Mauren;;09080/91882;09080/91884;Restaurant Ochs am Spieß am 03. und 06.10.2019;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;;;;Halle L, Freigelände
Mutsch Naturseifen;;Ziswingen 38a;86751;Mönchsdeggingen;;09088 494;;Naturseifen ;Kunst- u. Geschenkartikel;;;;Halle A
Nature Power Pelletes;;Weinberg 3;86650;Wemding;;0160 96436678;;Wolle, Woll-Pellets ;Heizung, Heizungstechnik, Sanitär;Energietechnik, Energieversorgung;;;Halle H
Obst- und Gartenbauverein Appetshofen;;Appetshofen 85;86753;Möttingen;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Ohne Umweg;;Schäfflesmarkt 1;86720;Nördlingen;;09081/2504989;;unverpackt: Seifen & Naturkosmetik, reg. Erzeugnisse: Honig, Wurst, Brot, Kaffee,;Mode, Beauty, Kosmetik;Nahrungs- und Genussmittel;;;Halle A
ORBIMED;Meine  Mundgesunde;Kreuzfelderstr.18;86660;Tapfheim;;09070/9607420;09070 9607421;BIO-Zahnpflegeprodukte und Naturseifen;Gesundheit, Medizin, Pflege;Reinigungsgeräte und -mittel;;;Halle A
Ott R. GmbH;Sanitär - Heizungstechnik;Albertusstr. 20;86735;Amerdingen-Bollstadt;;09089/969000;09089/9690010;Heizkessel ;Heizung, Heizungstechnik, Sanitär;;;;Halle B
Pallhuber GmbH & Co. KG;Niederlassung Bayern;Gewerbestr. 8;86420;Diedorf;;08238/966110;08238/9589668;Weine, Sekte, Säfte, Sherry ;Nahrungs- und Genussmittel;;;;Halle F
paramobil GmbH;Abt. Van - 4 - Life;Robert-Bosch-Str. 4;73463;Westhausen;;07363/4091910;;PLA Wohnmobil ;Mobilität, Zweirad, Reisen;Freizeit, Reisen, Camping;Gesundheit, Medizin, Pflege;;Freigelände
perfecta - Fenster u. Türen;Vertriebs & Montage GmbH;Hauptstr. 3;86707;Westendorf;;08273 799-100;08273 799-250;Fenster, Türen, Rollladensysteme ;Altbau, Modernisierung;Bauen, Ausbau, Fertighäuser, Immobilien;Fenster und Türen;;Halle H
Pfaff Heinrich;Imkerei;Dorfstr. 32;86739;Ederheim;;09081/24176;09081/805685;Imker ;Nahrungs- und Genussmittel;;;;Halle A
Pfefferer Jörg-Josef e.K.;;Adolf-Thomas-Straße 4;86653;Monheim;;09091 5932;09091 3906;Seecontainer, Lagercontainer, Containerzubehör;Verschiedenes;;;;Freigelände
Pfister Friedrich;Werksvertretungen;Dorfstr. 30;86733;Alerheim-Bühl;;09085/401;09085/920158;PKW-Kastenanhänger, -Viehanhänger, kleiner Hoflader;Auto, Autozubehör, Autopflege, Autohaus;Maschinen und Werkzeuge;;;Freigelände
Pierre René Professional;Beautypoint;Lucas-Schultes-Straße 5;86732;Oettingen;;09082 959772-22;;Kosmetik-Produkte ;Mode, Beauty, Kosmetik;;;;Halle K
Polizeiinspektion Dillingen a.d. Donau;;Kasernplatz 6;89407;Dillingen;;09071/56-275;09071/56-240;Informationsstand, Ausbildung zur 2. + 3. Qualifikationsebene;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle F
Portas Fachbetrieb;Schreinerei Lang GmbH & Co.KG;Thalmühlstraße 4;86739;Ederheim;;09081/275541;09081/275542;Treppe, Türen, Fenster, Decke, Haustüren ;Altbau, Modernisierung;Fenster und Türen;;;Halle F
Posaunenchor Enkingen;;Großelfinger Straße 21;86753;Möttingen;;09083/517;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Posaunenchor Kleinsorheim;;Unterdorf 25;86753;Möttingen;;09083/1208;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Premium Personal GmbH;;Kapellstr. 11;86609;Donauwörth;;0906 7055150;0906 70551510;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Recruiting, Arbeitskräfte, Personal;;;Halle F
Progas GmbH & Co. KG;;Westfalendamm 84-86;44141;Dortmund;;0231/5498100;0231/5498161;Flüssiggas, Geräte und Zubehör ;Energietechnik, Energieversorgung;Heizung, Heizungstechnik, Sanitär;Altbau, Modernisierung;Bauen, Ausbau, Fertighäuser, Immobilien;Halle E
Rappenegger Monika;Tupperware;Hubertusstraße 40;86650;Wemding;;;;Tupperware ;Haushaltsgeräte, Haushaltswaren;;;;Halle H
Regionalmanagement Donau-Ries;;Pflegstraße 2;86609;Donauwörth;;0906 74-338;0906 74-43338;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle D
Reidelshöfer - Das Bettenhaus;Wasserbetten OHG;Georgentalweg 3 a;91729;Haundorf;;09837/976090;09837/97609199;Wasserbetten, Matratzen, Tempur Teller- roste, Zirbenholzbetten, Bettgestelle,;Betten, Bettwäsche, Felle;;;;Halle G
RENOfloor® GmbH;;Mittlere Stämmig 2;97292;Uettingen;;09369/9067-130;09369/9067-77;Schnellsanierung für Balkone, Terrassen und Treppen bzw. Wohnbereiche;Altbau, Modernisierung;Balkone, Geländer, Zäune;Bauen, Ausbau, Fertighäuser, Immobilien;;Halle G
Ries Aronia;Christian Angermeyer;Hartweg 1;86739;Ederheim;;09081-2720130;;Aroniasaft ;Nahrungs- und Genussmittel;;;;Halle A
Rieser Agrartechnik GmbH;;Bachäcker 3 - 4;86720;Nördlingen;;09081/805068-19;09081/805068-13;Rasenmäher, Forstgeräte, Reinigungs- technik, Rasenroboter;Landwirtschaft, Landwirtschaftsgeräte;Gartengeräte, Gartengestaltung, Gartenbedarf;;;Freigelände
Rieser Eierteigwaren-Fabrik;Inh. Irene Mühlbacher;Hobelmühle 1;86720;Grosselfingen;;09083/491;09083/1252;Nudeln, Tomatensoße ;Nahrungs- und Genussmittel;;;;Halle M
Rieser Nachrichten;Lokales;Deininger Str. 8;86720;Nördlingen;;09081 83246;09081 83268;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle D
RMG Trockenlegung GmbH;;Dorfanger Str. 64;86450;Baiershofen;;0172/8234861;08295/909445;Abdichtungsprodukte, Kellertrockenlegung Horizontalsperre, Schleierinjektion;Bauen, Ausbau, Fertighäuser, Immobilien;Altbau, Modernisierung;;;Halle F
Rotel GmbH;;Zum Kalkofen 27;57439;Attendorn;;02722/9582611;02722/9582699;Dampfdruckbügeleisen und Zubehör ;Haushaltsgeräte, Haushaltswaren;;;;Halle H
RST - Beschichtungs GmbH;;Grabenweg 11;88487;Mietingen;;07392/7492;07392/914676;Balkon-, Terrassen- u. Treppenbeschich- tungen, Garagenbodenbeschichtung;Balkone, Geländer, Zäune;Garagen, Torantriebe;Altbau, Modernisierung;;Halle H
Rugby Abteilung;TSV 1861 Nördlingen e.V.;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
S.C. Boxenstopp;;Lierheim 13;86753;Möttingen;;09083/9683011;;Auto, Felgen ;Auto, Autozubehör, Autopflege, Autohaus;;;;Halle M
Samocca;Cafè und Kaffeerösterei;Eisengasse 2;86720;Nördlingen;;09081/7890230;;Kaffee und Kuchen ;Nahrungs- und Genussmittel;;;;Halle D
Samtpfoten Katzenhilfe Ries e.V.;Nördlingen;Thomas-Eha-Str. 24;73485;Unterschn.-Geislingen;;07966 2098;;Bücher, CD's, DVD's, Plüschtiere, etc. gegen Spende zum Mitnehmen;Informationsstände, Dienstleistungen, Sonderschau;Tierschauen, Tierbedarf;;;Halle J
Sankt Ulrich Verlag GmbH;;Henisiusstraße 1 (4. Stock);86152;Augsburg;;0821 50242-39;0821 50242-82;Katholische SonntagsZeitung für das Bistum Augsburg;informationsstände, Dienstleistungen, Sonderschau;;;;Halle G
Schnell Günter - Schreinerei/;Zimmerei;Schloßstr.9;86720;Nördlingen-Grosselfingen;;09081/86549;09081/23766;Informationsstand, Outdoorküche aus Holz ;Möbel, Küchen;;;;Halle S
Schreiner-Innung Donau-Ries;;Kerschensteiner Straße 35;86720;Nördlingen;;09085 9697-0;09085 9697-30;Möbel ;Möbel, Küchen;;;;Halle S
Schreinerei König GbR;;Mühlbachstr. 2 + 4;86720;Nördlingen-Schmähingen;;09081/5094;09081/22678;Fenster, Haus- u. Zimmertüren, Insekten- schutz, Überdachungen, Roll. Isolierung,;Altbau, Modernisierung;Bauen, Ausbau, Fertighäuser, Immobilien;Wintergärten, Überdachungen, Markisen;Fenster und Türen;Halle S
Schützenverein St. Georg Möttingen e.V.;;Dorfplatz 5;86753;Möttingen;;09083/528;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Schweihofer Winfried;Forst-, Garten- u. Kommunaltechnik;Gewerbepark Ost 11;86690;Mertingen;;09078/243;09078/1877;Akku-Geräte der Firma STIHL, Rasen- roboter Fa. STIHL;Gartengeräte, Gartengestaltung, Gartenbedarf;Maschinen und Werkzeuge;;;Halle E
Selbsthilfegruppe bezüglich;seelischer Beschwerden e. V.;Meinte 36;34346;Hannoversch Münden;;05545 206431;;Informationshefte und Spruchkarten ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle G
Skiba Fensterabdichtungen;Inh. Susanne Brosch;Schlossgarten 18;73579;Schechingen;;07175 4513;07175 3091630;Fenster- u. Türenabdichtungen, Service ;Bauen, Ausbau, Fertighäuser, Immobilien;Fenster und Türen;;;Halle E
Soldaten- und Kameradenverein;Kleinsorheim;Steingasse 1;86753;Möttingen;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Sparkasse Donauwörth;;Reichsstraße 31/33;86609;Donauwörth;;0906/781144;0906/781303;Informationsstand, Präsentation Finanzdienstleistungen;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle K
Stadt Harburg;;Schloßstraße 1;86655;Harburg;;09080/9699-0;09080/9699-30;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle D
Stadt Heidenheim;Tourist-Information;Hauptstraße 34;89522;Heidenheim;;07321 327 4900;07321 327 4911;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle G
Stadt Nördlingen;;Marktplatz 2;86720;Nördlingen;;09081 84-0;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle D
Stadt Oettingen i. Bay.;;Schloßstr. 36;86732;Oettingen;;09082/709-51;09082/709-88;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle K
Stadt Olomouc;;Horní námestí;77127;Olomouc;Tschechische Republik;;;lokales Bier Olmützer Quargel;Nahrungs- und Genussmittel;Informationsstände, Dienstleistungen, Sonderschau;;;Halle D
Stadt Stollberg;;Hauptmarkt 1;9366;Stollberg;;037296/94-0;037296/2437;Stollen, regionales Bier ;Nahrungs- und Genussmittel;Informationsstände, Dienstleistungen, Sonderschau;;;Halle D
Stadtmuseum Nördlingen;;Vordere Gerbergasse 1;86720;Nördlingen;;09081/273823-0;09081/273823-18;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle D
Stahl Manfred;FEIN-FIX GmbH & Co.KG;An der Lach 21;86720;Nördlingen;;09081 805070;09081 24576;Würzen, Suppen, Soßen, Salate, ;Nahrungs- und Genussmittel;Haushaltsgeräte, Haushaltswaren;;;Halle E
Ste-Cra Aluminium u. Edelstahlverarbeitung;Stefan Cramer;Juraweg 3;89437;Haunsheim;;09072/922183;09072/922197;Zäune, Tore, Geländer ;Garagen, Torantriebe;Balkone, Geländer, Zäune;;;Freigelände
Stengel Ziegelwerk GmbH & Co. KG;;Nördlinger Str. 24;86609;Donauwörth;;0906 7061830;0906 7061840;Ziegel ;Altbau, Modernisierung;Bauen, Ausbau, Fertighäuser, Immobilien;;;Halle F
Stockschützen;TSV 1861 Nördlingen e.V.;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Streunerhilfe Rudelstetten e.V.;;Holzgasse 5;86733;Alerheim;;0151 62604328;;Selbstgemachte Hundeartikel, Schnüffel- teppiche, Leinen, Halsbänder, Halstücher;Tierschauen, Tierbedarf;Informationsstände, Dienstleistungen, Sonderschau;;;Freigelände
Strobel Markus;Kreativartikel;Lange Straße 9;89567;Sontheim;;07325 919239;;Zaubermalstifte, Pustestifte, Badeenten, Kinderschmuck;Kunst- u. Geschenkartikel;Verschiedenes;;;Halle J
Swoboda Manuel;;Bahnhofstr. 6;86482;Aystetten;;0157/82829254;;Steinreinigung, Steinverfugung, Imprägnierung;Altbau, Modernisierung;Bauen, Ausbau, Fertighäuser, Immobilien;;;Halle F
Tabula Tilly;Inh. Adalbert Kefer;Klausenbrunnenweg 10 A;86641;Rain am Lech;;09090/1063;;Rahmbrot ;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;;;;Freigelände
Taglieber Holzbau GmbH;;Georg-Schwab-Str. 3;86732;Oettingen;;09082/95997-0;09082/95997-7;Wand- u. Dachmodelle, Info zu Holzhaus- bau, Zimmerei-Sanierung, Gewerbebau;Wintergärten, Überdachungen, Markisen;Bauen, Ausbau, Fertighäuser, Immobilien;Dächer, Dachumdeckungen, Dacheindeckungen, Fassaden;Altbau, Modernisierung;Halle K
team 4 two Hundetraining;;Schwedenstr.26;86554;Pöttmes;;0171/7874905;;Rahmenprogramm Hundetraining / Tier- psychologie, Mitmachparcour, Vorträge;Tierschauen, Tierbedarf;;;;Freigelände
Tekno Gerätefabrik GmbH;;Werner-Bloss-Str.19;52428;Jülich;;02461 343730;02461 343750;Dampfreiniger, Dampfsauger, Bügel- systeme, Staubsauger;Reinigungsgeräte und -mittel;;;;Halle E
"Tennisclub ""Romantische Straße""";;Wielandstraße 28;86720;Nördlingen;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Tennisgemeinschaft Schützenverein;"""Glück Auf"" Appetshofen";Appetshofen 14;86753;Möttingen;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Thermofit AG;;Schändrichstrasse 7;CH-9230;Flawil;SCHWEIZ;07531/62243;0041/7139381-17;Thermofit pro, Thermofit plus ;Gesundheit, Medizin, Pflege;Fitness, Gesundheit;;;Halle G
Tischtennisabteilung;TSV 1861 Nördlingen e.V.;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
TSV 1861 Nördlingen e. V.;;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
TSV Möttingen;;Balgheimer Straße 5;86753;Möttingen;;09083/1254;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Tupperware Bezirkshandlung;Schwandt GmbH;Zeppelinstr. 9;89160;Dornstadt;;07348 201201;07348 201671;Tupperware ;Haushaltsgeräte, Haushaltswaren;;;;Halle H
Turnen;TSV 1861 Nördlingen e.V.;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Uhl Weinvertrieb;Manfred Uhl;Kerkingerstr. 29;73441;Bopfingen;;07362 4900;07362 920303;Wein, Sekt, Spirituosen, Säfte ;Nahrungs- und Genussmittel;;;;Halle H
Ulrich R + F GmbH;;Johann-Schäfer-Str. 6;86720;Nördlingen-Dürrenzimmern;;09082 90008;09082 90009;Pferdebox, Weidezauntechnik, Pferdebedarf;Tierschauen, Tierbedarf;;;;Halle F
UNGER;Thermo-Boden GmbH;Industriestr. 12;86609;Donauwörth;;0906/70690-39;0906/4032;Estrich, Bodenbeläge, Sanierung, Trocknung, Raumausstattung;Altbau, Modernisierung;Bauen, Ausbau, Fertighäuser, Immobilien;;;Halle H
Unser Dorfladen Tagmersheim;;Ernst-Graf-von-Moy-Platz 5;86704;Tagmersheim;;09094/9028496;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
VARTA Storage GmbH;;Nürnberger Str. 65;86720;Nördlingen;;09081 24086 33;;Info Energiespeicherlösungen ;Energietechnik, Energieversorgung;;;;Halle B
VdK Sozialverband;Kreisverband Donau-Ries;Ried 32;86609;Donauwörth;;0906 7056163-14;0906 7056163-20;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle G
Verein für Gartenbau u. Landespflege;Hohenaltheim;Dorfstr. 19;86745;Hohenaltheim;;09088 1288;;Ruheinsel ;Gartengeräte, Gartengestaltung, Gartenbedarf;Informationsstände, Dienstleistungen, Sonderschau;;;Halle C
Verschönerungsverein Kleinsorheim;;Unterdorf 21;86753;Möttingen;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Veteranen-, Soldaten- und;Kameradschaftsverein Enkingen e.V.;Am Dorfplatz 3;86753;Möttingen;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Ville de Couches;;Saone et Loire;71490;Bourgone;FRANKREICH;;;französische Spezialitäten Wurst/Käse, Wein/Sekt;Nahrungs- und Genussmittel;Informationsstände, Dienstleistungen, Sonderschau;;;Halle D
